Bảng Nguồn,Cột Khóa Ngoại,Bảng Đích (Trỏ Tới),Cột Khóa Chính Đích,Loại Khóa
document_files,document_id,documents,id,FOREIGN KEY
document_files,deleted_by,profiles,id,FOREIGN KEY
document_files,created_by,profiles,id,FOREIGN KEY
document_files,uploaded_by,profiles,id,FOREIGN KEY
document_files,id,document_files,id,PRIMARY KEY
document_shares,document_id,documents,id,FOREIGN KEY
document_shares,shared_by,profiles,id,FOREIGN KEY
document_shares,assigned_by,profiles,id,FOREIGN KEY
document_shares,client_id,profiles,id,FOREIGN KEY
document_shares,shared_with,profiles,id,FOREIGN KEY
document_shares,id,document_shares,id,PRIMARY KEY
document_versions,created_by,profiles,id,FOREIGN KEY
document_versions,document_id,documents,id,FOREIGN KEY
document_versions,id,document_versions,id,PRIMARY KEY
documents,assignee_id,profiles,id,FOREIGN KEY
documents,created_by,profiles,id,FOREIGN KEY
documents,deleted_by,profiles,id,FOREIGN KEY
documents,id,documents,id,PRIMARY KEY
issuances,document_id,documents,id,FOREIGN KEY
issuances,issued_by,profiles,id,FOREIGN KEY
issuances,id,issuances,id,PRIMARY KEY
notifications,user_id,profiles,id,FOREIGN KEY
notifications,id,notifications,id,PRIMARY KEY
plans,owner_id,profiles,id,FOREIGN KEY
plans,deleted_by,profiles,id,FOREIGN KEY
plans,id,plans,id,PRIMARY KEY
profiles,id,profiles,id,PRIMARY KEY
review_actions,document_id,documents,id,FOREIGN KEY
review_actions,actor_id,profiles,id,FOREIGN KEY
review_actions,id,review_actions,id,PRIMARY KEY
